id,hash,k_count,n_SKolmogorov,n_MKolmogorov,M.MeanSyllablesPerWord,S.DependentC,L.Density,n_NDW_value,text_len_mean,text_len_std,t_mean_10000,t_std_10000,log_t_mean,log_t_std,p_510_no/len,p_1000_no/len,p_2000_no/len,p_5000_no/len,p_10000_no/len,del/len_mean,del/len_std,revision_t/len_filter_10000_mean,separator_t/t_filter_10000_mean,word_t/t_filter_10000_mean,jumps/s,chunks/s,latency/s,fluency/s,kmeans_label
0,01894,48735.0,0.08480499498018562,0.17679021121762106,1.6105125295043834,0.6082191780821918,0.5443200041567123,0.1040860300865714,106.88328767123282,42.91172475011528,405.80527341746176,1113.3326257324343,5.390675539388957,0.8336239571309019,0.1143800736146826,0.05725306307669036,0.03766449856300106,0.018075934049311758,0.009655624464276707,0.07901774606011265,0.08275288552686308,120.16603640397318,0.26088473102535353,0.6268081260667656,1.7287671232876711,1.7835616438356163,-0.2705441636260178,-0.021152006667153448,0.0
1,025a2,31675.0,0.008701420573296722,0.1852487322334207,1.6382393379932962,0.6536312849162011,0.5350565821335196,0.21432655215611926,118.6391061452514,56.03405496705079,668.3587687450671,1598.2333861446689,5.771663139130948,1.0437973947854708,0.25406787540678755,0.12659228265922826,0.08512319851231985,0.04686192468619247,0.02826592282659228,0.19956255126409025,0.15636310776256873,375.1824267782427,0.23928715514552445,0.5816630731508254,4.5307262569832405,2.597765363128492,0.51878614465748,0.01664856963901702,3.0
2,032b3,18847.0,0.16662008895574962,0.3079569310600042,1.6464791108786982,0.4911242603550296,0.5568847583059171,-0.057348904071807975,95.3431952662722,45.76441320414778,783.2326630232927,1392.2876672055881,6.186479974635768,0.8452438209300248,0.2763205608606309,0.14831379185301585,0.07802490027801283,0.028526532092348605,0.01317538982231355,0.05338584698058485,0.08344272199867224,159.2922156412426,0.2945451729361379,0.5517880574592354,0.9822485207100592,1.6272189349112427,-0.2088925255287302,-0.02233286494795366,1.0
3,04022,38237.0,0.1905197741716691,0.32354034547115856,1.7709406981777778,0.5656565656560606,0.5655646606404041,-0.22605966669709135,140.54040404040398,69.06654911708358,502.2096137249262,1492.424877623861,5.291399023767596,1.0738462805531432,0.1419757439007192,0.08560146664786349,0.061028063742772524,0.03659568467070935,0.022704837117472853,0.16209929533594786,0.1135851376492038,253.7288111690876,0.26679006856518345,0.5635780260002546,3.2626262626262625,2.5505050505050506,0.4074010227364258,-0.010762868163141506,2.0
4,04442,24499.0,0.14036384373697597,0.24828690384222799,1.5847158617742514,0.9341317365263474,0.534411822436527,0.0989204501910181,128.6568862275449,65.04198595702596,361.65635332054364,1012.7773939173848,5.343228065005682,0.831951675833437,0.0873591533232973,0.04269878198987272,0.02467953104329182,0.0127275215546736,0.008256922585648465,0.04118085876137663,0.03682971160557783,64.20500889557958,0.2973783874106583,0.6035356668765868,0.6467065868263473,1.221556886227545,-0.190384146865478,-0.05073522730484585,0.0
5,09d26,9373.0,0.032597612224145256,-0.1782527245030027,1.7233282486761905,0.8809523809523809,0.5053227747285713,-0.2572767161347561,124.07142857142857,59.70798568036748,506.336071695295,1442.0938546407556,5.422947729450764,1.0202849862359245,0.19812762705387849,0.10126098586167367,0.07069163163928162,0.044134505158578516,0.0284677111196026,0.2737121525833877,0.18080486754625047,442.1033626289645,0.27506263053281915,0.5342272210278625,4.785714285714286,3.1428571428571432,0.4759369851201899,-0.017272840977775986,
6,0a79c,84554.0,0.06570243447750644,0.0314518692177349,1.6841922714720992,0.8395061728385185,0.5532923972844445,-0.037230075175340764,162.03456790123457,77.55725314226727,471.4784279868488,1254.0085696790939,5.4266176668158925,0.9490276423409706,0.12885849522316115,0.07905740918198449,0.04962685483636786,0.022809768562882943,0.012413973342625664,0.09050974760757967,0.07103515065550815,146.79747074367685,0.3342624804145609,0.5185826096562183,3.320987654320988,2.05679012345679,0.09170246370173482,-0.0180769022777488,0.0
7,0b0cc,26688.0,-0.03920582802467706,0.006685234662708615,1.5482078001456043,0.8846153846153846,0.5321214043978022,0.18695886434985212,112.82142857142851,50.22504170752367,385.1695143884892,940.1862783435312,5.432523287741809,0.837186547912122,0.13497981477083829,0.058940869152220375,0.03182142009023985,0.012776062692947043,0.006744241272856804,0.1151372007050194,0.09950344230804928,105.42754690097364,0.2981509332072212,0.5598070335930774,0.3461538461538461,1.1538461538461535,-0.3476488272740881,-0.005073187798638033,0.0
8,0dd5d,52875.0,-0.06742441648102092,-0.15635425887675594,1.701228046713841,0.6401384083044983,0.5510884450878892,-0.2772992947140962,133.0657439446367,47.27695258854156,569.8832340425532,1564.0572033339788,5.529455125230397,1.033532676032717,0.1551582829628112,0.0931513164634771,0.06692449544104087,0.04064645015879522,0.02492060239729536,0.13628537438518834,0.11144603753215417,253.31290339104598,0.2479622205073411,0.6320919291834413,3.5709342560553634,2.2698961937716264,0.6204140461755959,-0.012572006573595891,2.0
9,154ae,28252.0,-0.1374386088600986,-0.16494865470136713,1.5814369778993749,0.76875000000125,0.5275353883131251,-0.013099902551401749,119.07374999999998,51.708289771873815,673.7012600877814,1569.7205746037948,5.85021628201259,1.0554955879107166,0.3767977471588052,0.1308961078145429,0.07713969626873178,0.042793925374635416,0.026802775822186462,0.15097491129071985,0.10778679320244552,345.19692245801065,0.284759335079469,0.5102836887447795,3.175,2.11875,0.923323927968728,-0.03216558355549333,3.0
10,17144,41861.0,-0.04834661799567737,-0.08833951061118586,1.5382892509218562,0.6736526946110778,0.5163473101314372,0.2871404363884608,91.64955089820356,38.44553740871036,478.89094861565667,1248.9363063443186,5.504743351239619,0.9689205830275992,0.15522092205383975,0.08497985804718973,0.049587569537694234,0.02522539804335316,0.01365176801585779,0.1188428915615387,0.12454790933030993,213.83748960931013,0.2805817149295053,0.5426797617336305,1.781437125748503,1.7994011976047903,-0.06281833586969535,-0.005297451334614019,1.0
11,173a6,23918.0,0.1269921638285504,0.09142780256964524,1.5792274430377051,1.360655737704918,0.5039989283893442,0.2789128419324076,148.89303278688524,58.57296513277432,752.5663517016471,1690.5816145440326,5.945924033979335,1.0806968596383413,0.2456540634506736,0.1298348544111256,0.08431116905693177,0.046121251629726204,0.03009561060408518,0.12717504549618325,0.10972349182921724,316.13532159930463,0.28944702158312896,0.5434421233165272,4.827868852459017,3.0737704918032787,1.054453600859132,-0.01569733191552469,3.0
12,198f0,40410.0,0.006634313961086301,-0.07949439086116446,1.645776872472598,0.5017793594302492,0.5249513976124555,-0.06353045902269877,104.69039145907473,40.25756646080599,435.07619401138334,1234.2586338459414,5.397965464660019,0.8945774066652724,0.11823983876385626,0.06778636210950621,0.04568357406785355,0.02455492106147128,0.014477662075915353,0.14951259249296048,0.12250795664575052,206.21629156869326,0.2422547305787823,0.6153396048925688,1.7259786476868328,1.8647686832740211,-0.12669497565972115,-0.01445164828771054,1.0
13,1a724,44495.0,0.1980311914563877,0.14832896678516727,1.6110252153214952,0.8037383177570093,0.5246950574785046,0.2759739867699161,134.6441588785047,54.52758057337503,448.79004382514887,1243.3245294655699,5.41175461829447,0.9655639324447592,0.18996379039420647,0.08270137323221971,0.05130832820933252,0.02695224431235909,0.017387442781990847,0.2337550867092937,0.15470697632742958,259.5886793741887,0.31510104300409114,0.5377166199614551,1.88785046728972,1.8925233644859811,0.4188668444482301,0.01347144267948435,2.0
14,1d038,42713.0,-0.17977942783272452,-0.09501376366309916,1.6306107446832654,0.7551020408163265,0.5319626781130613,0.09585097301642337,123.98367346938775,47.80947222038017,438.5506286142392,1197.790300636141,5.445692978040352,0.9110062128866784,0.14660739202388293,0.07080507512087485,0.042995749099522994,0.02277963461725671,0.014310283285199728,0.15784611034826085,0.1387900844170885,214.8059837102897,0.24729322926286376,0.6053500969418383,2.289795918367347,2.097959183673469,0.11374562892223075,-0.02617798544659608,1.0
