,file_id,user_id,avg_burst_len_550,mean_p_550,med_p_550,avg_burst_len_1000,mean_p_1000,med_p_1000,avg_burst_len_2000,mean_p_2000,med_p_2000
10,10.0,1.0,1.827586206896552,7368.379310344828,1054.0,3.125,4482.625,1787.0,4.875,16869.0,7058.5
11,11.0,1.0,1.6666666666666667,36751.26666666667,1074.0,3.125,68274.25,5844.5,4.166666666666667,90628.33333333331,10587.0
12,12.0,1.0,2.1192170818505343,8478.245551601423,1562.5,2.9538461538461536,11665.784615384617,3158.5,4.031620553359684,17953.885375494072,6617.0
13,13.0,1.0,3.135802469135802,17235.58201058201,1594.0,4.5438144329896915,25208.448453608253,3436.0,6.534883720930233,37766.24418604651,6458.5
14,14.0,1.0,1.8904428904428905,5615.0722610722605,1103.0,2.898832684824902,11416.06614785992,2840.0,4.1647058823529415,17549.241176470587,5367.0
15,15.0,1.0,2.355670103092784,3782.2422680412374,1211.0,2.6902654867256643,5939.681415929204,2727.0,4.297297297297297,8581.22972972973,4571.5
16,16.0,1.0,2.97979797979798,5562.979797979799,1171.5,4.512396694214876,8558.462809917355,2670.0,6.8194444444444455,13440.597222222224,5192.5
17,17.0,1.0,1.1875,1679.3125,1064.5,1.8,2202.6,1480.0,6.0,4328.666666666667,4491.0
18,18.0,2.0,1.3664717348927875,3207.3216374269005,1675.0,1.6218097447795825,3708.8839907192573,1981.0,3.097674418604651,6098.13488372093,3063.0
19,19.0,2.0,1.4719387755102042,3442.886479591837,1539.0,1.8060413354531,4122.904610492846,1881.0,3.7080536912751683,10255.271812080537,3690.0
20,20.0,2.0,1.5134408602150538,3082.6653225806454,1414.0,1.8569051580698837,3639.3893510815305,1699.0,4.178294573643411,6676.372093023256,3303.0
21,21.0,3.0,4.026315789473684,7380.96842105263,1929.5,4.354609929078015,9490.851063829788,3389.0,5.989583333333332,12903.791666666664,6063.0
22,22.0,3.0,3.66839378238342,5572.725388601038,1496.0,4.854014598540147,7439.934306569343,2247.0,7.373493975903615,12157.795180722893,3713.0
23,23.0,3.0,2.5502958579881656,7771.704142011834,1444.0,3.727272727272727,11732.718181818182,3843.5,5.311688311688312,16135.675324675325,5493.0
24,24.0,3.0,3.1188118811881185,10112.564356435645,2793.0,3.6794871794871793,15010.46153846154,4525.0,5.0,20221.654545454545,5834.0
25,25.0,3.0,2.682051282051282,11606.174358974358,1396.0,3.992366412213741,17072.335877862595,2791.0,6.0,26761.878048780487,6928.0
26,26.0,3.0,2.8870967741935485,20193.801075268817,1849.5,3.741258741258741,26378.755244755244,2780.0,5.4848484848484835,37520.51515151515,5423.0
